bodr;Bodr
b_tatey;Tatey
b_satey;Satey
b_efyat;Efyat
b_sured;Sured
b_nyio;Nyio
b_tyaila;Tyaila
b_adyyla;Adyyla
katina;Katina
b_tobalt;Tobalt
b_esiby;Esiby
b_kiyamey;Kiyamey
b_wosalt;Wosalt
b_qosiby;Qosiby
b_wuzed;Wuzed
b_ebovidia;Ebovidia
b_naxed;Naxed
latotos;Latotos
b_dovesind;Dovesind
b_kaxande;Kaxande
b_woliby;Woliby
b_kaxotos;Kaxotos
b_lyaila;Lyaila
b_kuzed;Kuzed
b_byey;Byey
b_elated;Elated
losiby;Losiby
b_bolyhon;Bolyhon
b_riwey;Riwey
b_dobande;Dobande
b_riby;Riby
b_rosenes;Rosenes
b_afye;Afye
b_ekatiby;Ekatiby
b_syaila;Syaila
riwina;Riwina
b_esiyaed;Esiyaed
b_ratada;Ratada
b_tosephen;Tosephen
b_availa;Availa
b_roubyl;Roubyl
b_nephen;Nephen
b_daxiby;Daxiby
b_qyiy;Qyiy
toboros;Toboros
b_woblaqosla;Wobla Qosla
b_ruraila;Ruraila
b_abyo;Abyo
b_elatalt;Elatalt
b_aquriby;Aquriby
b_tye;Tye
b_tatenes;Tatenes
b_ryey;Ryey
katenes;Katenes
b_kaxed;Kaxed
b_sovison;Sovison
b_asiyamey;Asiyamey
b_losoros;Losoros
b_wuyakey;Wuyakey
b_naloul;Naloul
b_turalt;Turalt
kovina;Kovina
b_lyla;Lyla
b_tovison;Tovison
b_duyanes;Duyanes
b_nanuyande;Nanuyande
b_wyiy;Wyiy
b_tebesind;Tebesind
b_nouen;Nouen
b_kosenes;Kosenes
quralt;Quralt
b_biwery;Biwery
b_quzen;Quzen
b_riwidia;Riwidia
b_edyat;Edyat
b_ratoros;Ratoros
b_rosotos;Rosotos
b_ratande;Ratande
b_qaxalt;Qaxalt
b_dyade;Dyade
b_kolyhon;Kolyhon
b_sosephen;Sosephen
b_kovesind;Kovesind
b_lucen;Lucen
b_siyaby;Siyaby
b_ruzaila;Ruzaila
luroros;Luroros
b_lolina;Lolina
b_tolada;Tolada
b_abyhon;Abyhon
b_kobyla;Kobyla
b_qeryaa;Qery Aa
b_tatery;Tatery
b_dosina;Dosina
b_rosiby;Rosiby
b_kolya;Kolya
b_aqoslatina;Aqosla Tina
b_dina;Dina
b_rovaila;Rovaila
b_tobephen;Tobephen
b_bobephen;Bobephen
b_riyala;Riyala
b_touda;Touda
tousy;Tousy
b_dyaila;Dyaila
b_kovoros;Kovoros
b_esada;Esada
b_laxiby;Laxiby
b_tatalt;Tatalt
b_buzen;Buzen
b_koviby;Koviby
qyla;Qyla
b_nosesind;Nosesind
b_lye;Lye
b_lobaila;Lobaila
b_koros;Koros
b_niyande;Niyande
b_kaxiby;Kaxiby
b_asephen;Asephen
b_eleylen;Eleylen
didia;Didia
b_raloun;Raloun
b_edyey;Edyey
b_tosotos;Tosotos
b_taxya;Taxya
b_bucey;Bucey
b_syiy;Syiy
b_kovyla;Kovyla
b_dosiby;Dosiby
wovery;Wovery
b_tolyo;Tolyo
b_talt;Talt
b_nolentosla;Nolen Tosla
b_ebiwery;Ebiwery
b_buriby;Buriby
b_ariwenes;Ariwenes
b_diworos;Diworos
b_wiwalt;Wiwalt
kosison;Kosison
b_qosalt;Qosalt
b_qaxyla;Qaxyla
b_wouns;Wouns
b_kaxey;Kaxey
b_tobiby;Tobiby
b_bucen;Bucen
b_kuciby;Kuciby
kuzotos;Kuzotos
b_ryaa;Ryaa
b_emaxey;Emaxey
b_tataila;Tataila
b_kacatoros;Kacatoros
b_teylina;Teylina
b_rovoros;Rovoros
b_deylina;Deylina
b_diwey;Diwey
edyiy;Edyiy
b_bolidia;Bolidia
b_akoviby;Akoviby
b_qolenes;Qolenes
b_neslakery;Nesla Kery
b_kiyalla;Kiyalla
b_eriwiby;Eriwiby
b_ruzison;Ruzison
b_ryiy;Ryiy
turenes;Turenes
b_duzey;Duzey
b_niwed;Niwed
b_saleryaled;Salery Aled
b_atiyamey;Atiyamey
b_tiwidia;Tiwidia
b_losina;Losina
b_liwalt;Liwalt
b_koul;Koul
b_sosiby;Sosiby
b_kolalt;Kolalt
b_biwiby;Biwiby
b_wyey;Wyey
b_alaila;Alaila
b_qaxiby;Qaxiby
b_neliby;Neliby
woubyl;Woubyl
b_solery;Solery
b_kuyande;Kuyande
b_kuralt;Kuralt
b_dyaa;Dyaa
b_tolery;Tolery
b_ratalt;Ratalt
b_roros;Roros
b_bosada;Bosada
tyla;Tyla
b_dye;Dye
b_amwada;Amwada
b_soviby;Soviby
b_suciby;Suciby
b_wucyla;Wucyla
b_nyade;Nyade
b_ruzotos;Ruzotos
b_suzidia;Suzidia
b_dosenlosla;Dosen Losla
b_daltoe;Dalt Oe
b_sosenes;Sosenes
b_taxoros;Taxoros
b_syey;Syey
b_kyia;Kyia
b_nucison;Nucison
b_kuzada;Kuzada
tatotos;Tatotos
b_kiwina;Kiwina
b_amwiby;Amwiby
b_bovidia;Bovidia
b_wucen;Wucen
b_qidia;Qidia
b_katotos;Katotos
b_sedye;Sedye
b_wiyala;Wiyala
wucada;Wucada
b_ryla;Ryla
b_quren;Quren
b_qolyhon;Qolyhon
b_syoo;Syoo
b_soud;Soud
b_kyaa;Kyaa
b_qiyaen;Qiyaen
b_abiby;Abiby
burina;Burina
b_ratery;Ratery
b_datiby;Datiby
b_sidia;Sidia
b_tosaila;Tosaila
b_qatiby;Qatiby
b_bounde;Bounde
b_keseytada;Kesey Tada
b_biyadia;Biyadia
tobison;Tobison
b_quciby;Quciby
b_bobotos;Bobotos
b_tobande;Tobande
b_nyee;Nyee
b_saten;Saten
b_tovaila;Tovaila
b_lyio;Lyio
b_kosina;Kosina
syyla;Syyla
b_kousy;Kousy
b_nadalobey;Nada Lobey
b_syade;Syade
b_kuzery;Kuzery
b_tolaila;Tolaila
b_tiyatos;Tiyatos
b_turina;Turina
b_tebaila;Tebaila
emwada;Emwada
b_nobande;Nobande
b_riworos;Riworos
b_suzery;Suzery
b_tatison;Tatison
b_adolidia;Adolidia
b_solande;Solande
b_lyiia;Lyiia
b_turiby;Turiby
efyade;Efyade
b_doun;Doun
b_etaqovey;Eta Qovey
b_anatison;Anatison
b_lyat;Lyat
b_qyia;Qyia
b_lobenes;Lobenes
b_nariworos;Nariworos
b_tosoros;Tosoros
raqenda;Ra Q-Enda
b_baxada;Baxada
b_nucada;Nucada
b_latya;Latya
b_tiyande;Tiyande
b_qyey;Qyey
b_soseykosla;Sosey Kosla
b_ebidia;Ebidia
b_qatalt;Qatalt
qosotos;Qosotos
b_alousn;Alousn
b_labady;La Ba-Dy
b_nucande;Nucande
b_katoros;Katoros
b_wotos;Wotos
b_tatina;Tatina
b_kerucaila;Kerucaila
b_ryade;Ryade
nison;Nison
b_epurada;Epurada
b_eruzison;Eruzison
b_qucison;Qucison
b_neylen;Neylen
b_rolalt;Rolalt
b_eldadaty;Elda Da-Ty
b_byio;Byio
b_daxalt;Daxalt
dobenbosey;Doben Bosey
b_nurande;Nurande
b_qeylery;Qeylery
b_byhon;Byhon
b_kesande;Kesande
b_teyley;Teyley
b_robotos;Robotos
b_erucenes;Erucenes
b_ruridia;Ruridia
b_buyanes;Buyanes
b_kyat;Kyat
b_alyaila;Alyaila
b_wated;Wated
b_taltased;Talt Ased
b_noul;Noul
b_dyiia;Dyiia
b_ratey;Ratey
esiyaen;Esiyaen
b_tyiy;Tyiy
b_rery;Rery
b_raxenes;Raxenes
b_raltanina;Ralt Anina
b_deyled;Deyled
b_tyat;Tyat
b_bobande;Bobande
b_acatande;Acatande
lucey;Lucey
b_syee;Syee
b_bolaila;Bolaila
b_kiyande;Kiyande
b_kalt;Kalt
b_bosotos;Bosotos
b_kurenes;Kurenes
b_wiyaby;Wiyaby
b_rucery;Rucery
b_bucalt;Bucalt
b_ruzoros;Ruzoros
b_bosyhon;Bosyhon
b_riwande;Riwande
b_daila;Daila
b_tucyla;Tucyla
b_tuzey;Tuzey
b_bolina;Bolina
tiyason;Tiyason
b_waxey;Waxey
b_wephen;Wephen
b_kiby;Kiby
b_woros;Woros
b_dyia;Dyia
b_nosyhon;Nosyhon
b_watiby;Watiby
b_kurina;Kurina
tolyla;Tolyla
b_kaxenes;Kaxenes
b_sucoros;Sucoros
b_byaa;Byaa
b_eberyat;Ebery At
b_tuyaby;Tuyaby
b_radyoo;Radyoo
b_latison;Latison
b_raxyla;Raxyla
wovenlovla;Woven Lovla
b_kiwada;Kiwada
b_byoo;Byoo
b_nouby;Nouby
b_kobotos;Kobotos
b_qyyla;Qyyla
b_qacatidia;Qacatidia
b_teylen;Teylen
b_batison;Batison
abiyatos;Abiyatos
b_bosoros;Bosoros
b_tucoros;Tucoros
b_bovesind;Bovesind
b_qovyhon;Qovyhon
b_sande;Sande
b_siwada;Siwada
b_qovada;Qovada
b_wesind;Wesind
tyaa;Tyaa
b_ariwaila;Ariwaila
b_lyaa;Lyaa
b_avada;Avada
b_bosiby;Bosiby
b_wolidia;Wolidia
b_sucery;Sucery
b_eladaled;Elada Led
b_tyia;Tyia
kaladanina;Kalada Nina
b_alidia;Alidia
b_kurison;Kurison
b_kolephen;Kolephen
b_turaila;Turaila
b_wye;Wye
b_novina;Novina
b_dosenes;Dosenes
b_kaxaila;Kaxaila
latalt;Latalt
b_niyason;Niyason
b_luyason;Luyason
b_kurada;Kurada
b_liwaila;Liwaila
b_sobephen;Sobephen
b_kosephen;Kosephen
b_kyya;Ky Y-A
b_alatidia;Alatidia
dounde;Dounde
b_ducenes;Ducenes
b_byiy;Byiy
b_tosina;Tosina
b_tuzed;Tuzed
b_siyason;Siyason
b_efye;Efye
b_ruyason;Ruyason
b_kiwyla;Kiwyla
qoloros;Qoloros
b_satande;Satande
b_tiby;Tiby
b_keylalt;Keylalt
b_ratiby;Ratiby
b_losyla;Losyla
b_enoviby;Enoviby
b_eriwyla;Eriwyla
b_wolyo;Wolyo
b_routs;Routs
b_daten;Daten
b_biyaby;Biyaby
b_kiyatos;Kiyatos
b_tobidia;Tobidia
b_adosladen;Adosla Den
b_ruzed;Ruzed
b_riwen;Riwen
asiyadia;Asiyadia
b_adosison;Adosison
b_kosaila;Kosaila
b_lobery;Lobery
b_kuzande;Kuzande
b_aqucina;Aqucina
b_tatiby;Tatiby
b_adyey;Adyey
b_noviby;Noviby
seylen;Seylen
b_kyla;Kyla
b_losenrosen;Losen Rosen
b_bosina;Bosina
b_qolery;Qolery
b_rande;Rande
b_rosina;Rosina
b_lucoros;Lucoros
b_eniyaby;Eniyaby
rucen;Rucen
b_tolina;Tolina
b_dolyhon;Dolyhon
b_baraqa;Ba Ra-Qa
b_robaila;Robaila
b_nobidia;Nobidia
b_qiworos;Qiworos
b_woul;Woul
b_batidia;Batidia
b_nyoo;Nyoo
b_qyade;Qyade
b_kuriby;Kuriby
b_wuced;Wuced
b_aloued;Aloued
b_tobyla;Tobyla
b_raxidia;Raxidia
b_robada;Robada
qovyo;Qovyo
b_qovlalalt;Qovla Lalt
b_afyiy;Afyiy
b_raxed;Raxed
b_quryla;Quryla
b_qenla;Qenl A-
b_arucalt;Arucalt
b_wiwiby;Wiwiby
b_duyande;Duyande
robalt;Robalt
b_bataka;Ba Ta-Ka
b_wuriby;Wuriby
b_kuyanes;Kuyanes
b_waxiby;Waxiby
b_riyaen;Riyaen
b_qyoo;Qyoo
b_neryola;Nery Ola
nobaila;Nobaila
b_niwen;Niwen
b_tovidia;Tovidia
b_dawaenr;Da Wa-Enr
b_tiwaila;Tiwaila
b_eriwotos;Eriwotos
b_belatiby;Belatiby
b_kucenes;Kucenes
b_riyaed;Riyaed
b_surina;Surina
b_wosedtobey;Wosed Tobey
b_kaxya;Kaxya
b_latenes;Latenes
b_eruzina;Eruzina
b_qoliby;Qoliby
b_quzenes;Quzenes
b_tounde;Tounde
wuzina;Wuzina
riyanes;Riyanes
nosey;Nosey
ebed;Ebed
rina;Rina
wats;Wats
tosey;Tosey
qobed;Qobed
kolla;Kolla
teuss;Teuss
tey;Tey
bed;Bed
dadid;Dadid
raus;Raus
rolid;Rolid
radla;Radla
loved;Loved
qina;Qina
kery;Kery
sils;Sils
badey;Badey
sens;Sens
radid;Radid
kolid;Kolid
rows;Rows
kys;Kys
red;Red
kina;Kina
amwid;Amwid
tadey;Tadey
edys;Edys
wows;Wows
bils;Bils
baus;Baus
toos;Toos
dys;Dys
qoved;Qoved
kore;Kore
wys;Wys
lery;Lery
bolid;Bolid
noley;Noley
rovey;Rovey
teley;Teley
apavha;Apavha
solid;Solid
nolid;Nolid
leler;Leler
reler;Reler
efedda;Efedda
telid;Telid
doley;Doley
novey;Novey
rerivi;Rerivi
kyeviby;Kyeviby
kyeviby_DESC;All praise the almighty R!
r;Urgia
tine;Tine
abenitta;Abenitta
sageorn;Sageorn
erorolf;Erorolf
lemna;Lemna
k;Resutami
ema;Emäa
ekrn;Ekrn
ekra;Ekra
l;Urcain
rasna;Rasna
kohows;Kohows
b_egiley;Egiley
b_lenodar;Lenodar
b_lirery;Lirery
b_kelihal;Kelihal
b_releyee;Reley'ee
b_kenipp;Kenipp
b_saviby;Saviby
b_erusery;Erusery
deser;Deser
b_qenacob;Qenacob
b_bolerd;Bolerd
b_kusiby;Kusiby
b_derada;Derada
b_wilows;Wilows
b_datid;Datid
b_aniwacob;Aniwacob
b_nererd;Nererd
ajoherd;Ajoherd
b_liwows;Liwows
b_delihal;Delihal
b_doleyoe;Doley'oe
b_niriby;Niriby
b_kavada;Kavada
b_tohada;Tohada
b_susid;Susid
b_dolada;Dolada
alishan;Alishan
b_elivi;Elivi
b_qovodar;Qovodar
b_qeusacob;Qeusacob
b_relivi;Relivi
b_nusows;Nusows
b_ravacob;Ravacob
b_lovidia;Lovidia
b_tusery;Tusery
tyevipp;Tyevipp
b_direy;Direy
b_edyos;Edyos
b_tirodar;Tirodar
b_raudid;Raudid
b_qusid;Qusid
b_kedid;Kedid
b_lusiby;Lusiby
b_novadwig;Novadwig
lolidoi;Lolid'oi
b_byalelid;Byalelid
b_katacob;Katacob
b_adedidia;Adedidia
b_qatery;Qatery
b_tyevivi;Tyevivi
b_qedivi;Qedivi
b_kaudada;Kaudada
b_niwihal;Niwihal
soladwig;Soladwig
b_reusivi;Reusivi
b_tahenacob;Tahenacob
b_weladwig;Weladwig
b_kedodar;Kedodar
b_wedipp;Wedipp
b_denidia;Denidia
b_tovodar;Tovodar
b_dativi;Dativi
qiwipp;Qiwipp
b_qohiby;Qohiby
b_tenipp;Tenipp
b_kelerd;Kelerd
b_byevey;Byevey
b_retatodar;Retatodar
b_telishan;Telishan
b_tolerd;Tolerd
b_liracob;Liracob
daudipp;Daudipp
b_emauder;Emauder
b_ratid;Ratid
b_batey;Batey
b_tavipp;Tavipp
b_denihal;Denihal
b_dusid;Dusid
b_lenidia;Lenidia
b_byevows;Byevows
lekirodar;Lekirodar
b_novodar;Novodar
b_lelihal;Lelihal
b_belidoi;Belid'oi
b_buser;Buser
b_ejoher;Ejoher
b_lirada;Lirada
b_kariwacob;Kariwacob
b_kilacob;Kilacob
siler;Siler
b_kiler;Kiler
b_qeusows;Qeusows
b_saudid;Saudid
b_kerery;Kerery
b_etatacob;Etatacob
b_aqyao;Aqyao
b_aberer;Aberer
b_ravid;Ravid
kusodar;Kusodar
b_sovaspar;Sovaspar
b_erusidia;Erusidia
b_batacob;Batacob
b_bavid;Bavid
b_nusihal;Nusihal
b_tovivi;Tovivi
b_davivi;Davivi
b_eroveroi;Erover'oi
nederd;Nederd
b_kedidia;Kedidia
b_evacob;Evacob
b_agilerd;Agilerd
b_bolows;Bolows
b_kohada;Kohada
b_renivi;Renivi
b_rolows;Rolows
b_redidia;Redidia
eser;Eser
b_batihal;Batihal
b_sohipp;Sohipp
b_ekyevacob;Ekyevacob
b_agilihal;Agilihal
b_lehenidia;Lehenidia
b_weusodar;Weusodar
b_busada;Busada
b_adyed;Adyed
b_wiwidia;Wiwidia
b_adyoa;Adyoa
b_nerery;Nerery
b_lyia;Lyia
b_ratodar;Ratodar
b_tenada;Tenada
b_tavows;Tavows
b_lolacob;Lolacob
erusipp;Erusipp
b_qaudey;Qaudey
b_alacob;Alacob
b_katidia;Katidia
b_teleroe;Teler'oe
b_avodar;Avodar
b_deusows;Deusows
b_qenodar;Qenodar
b_wativi;Wativi
kavey;Kavey
b_kegilery;Kegilery
b_werusiby;Werusiby
b_rativi;Rativi
b_kener;Kener
b_redada;Redada
b_tusacob;Tusacob
b_rirada;Rirada
b_telodar;Telodar
kaviby;Kaviby
b_avidia;Avidia
b_wohihal;Wohihal
b_ewedada;Ewedada
b_doviby;Doviby
b_tenows;Tenows
b_wyever;Wyever
b_dusada;Dusada
b_solereusid;Soler'eusid
b_beriby;Beriby
b_werer;Werer
b_dohada;Dohada
b_satid;Satid
b_qyeverd;Qyeverd
b_eberer;Eberer
b_kilihal;Kilihal
b_efedidia;Efedidia
qilows;Qilows
b_kyevivi;Kyevivi
b_arusiby;Arusiby
b_neusid;Neusid
b_nyevacob;Nyevacob
b_kaudows;Kaudows
b_reniby;Reniby
b_akineuswrolw;Akin'euswrolw
b_ebovadwig;Ebovadwig
novows;Novows
b_aderer;Aderer
b_dyevodar;Dyevodar
b_eberivi;Eberivi
b_seusada;Seusada
b_teusiby;Teusiby
b_relacob;Relacob
b_ryevery;Ryevery
b_beusery;Beusery
arolerdleley;Arolerdleley
b_eliby;Eliby
b_batada;Batada
b_nerivi;Nerivi
b_qeuserd;Qeuserd
b_qusihal;Qusihal
b_lilacob;Lilacob
b_evodar;Evodar
b_keniby;Keniby
epavacob;Epavacob
b_lusey;Lusey
b_amauderd;Amauderd
b_telidoe;Telid'oe
b_kusows;Kusows
b_etater;Etater
b_teusid;Teusid
b_qenada;Qenada
b_nilipp;Nilipp
kusidia;Kusidia
b_lelacob;Lelacob
b_solrrensalussa;Solrrensa'lussa
b_qiatuscobule;Qia'tuscob'ule
b_weusid;Weusid
b_keracob;Keracob
b_tirows;Tirows
b_raterd;Raterd
b_kiracob;Kiracob
beliby;Beliby
b_wolery;Wolery
b_nyever;Nyever
b_arusihal;Arusihal
b_wyevacob;Wyevacob
b_lyevada;Lyevada
b_davey;Davey
b_ryos;Ryos
amaudey;Amaudey
b_dusipp;Dusipp
b_wavacob;Wavacob
b_nusada;Nusada
b_deusacob;Deusacob
b_lyeverd;Lyeverd
b_lovidaley;Lovid'aley
b_dolidia;Dolidia
b_wenid;Wenid
renihal;Renihal
b_qusipp;Qusipp
b_dusacob;Dusacob
b_kohiby;Kohiby
b_efedey;Efedey
b_syever;Syever
b_tyevacob;Tyevacob
b_esihal;Esihal
b_bovacob;Bovacob
tirey;Tirey
b_teleyo;Teley'o
b_akirada;Akirada
b_tyevery;Tyevery
b_kyevacob;Kyevacob
b_wyevada;Wyevada
b_tedery;Tedery
b_tererd;Tererd
b_ryevows;Ryevows
nelacob;Nelacob
b_ejohacob;Ejohacob
b_rolivi;Rolivi
b_rusidia;Rusidia
b_nohiby;Nohiby
b_qedidia;Qedidia
b_dovishan;Dovishan
b_sovihal;Sovihal
b_byevid;Byevid
wolows;Wolows
b_senodar;Senodar
b_tyiia;Tyiia
b_bilerd;Bilerd
b_reusidia;Reusidia
b_keleyeler;Keley'eler
b_teusivi;Teusivi
b_wovidia;Wovidia
b_noveree;Nover'ee
keuser;Keuser
b_tolows;Tolows
b_tiley;Tiley
b_seridia;Seridia
b_esey;Esey
b_busipp;Busipp
b_neracob;Neracob
b_dyey;Dyey
b_ledery;Ledery
kovidoi;Kovid'oi
b_tusid;Tusid
b_nolidalid;Nolid'alid
b_tedacob;Tedacob
b_nyevivi;Nyevivi
b_tohivi;Tohivi
b_agiliby;Agiliby
b_rohihal;Rohihal
b_nerusows;Nerusows
tiwihal;Tiwihal
b_dilidiyevb;Dilid'i'yevb
b_lavacob;Lavacob
b_wusada;Wusada
b_kariwivi;Kariwivi
b_bedacob;Bedacob
b_benid;Benid
b_kohey;Kohey
b_tatdarei;Tatdar'ei
b_savada;Savada
b_qyevacob;Qyevacob
b_satipp;Satipp
b_belacob;Belacob
b_keusid;Keusid
b_syii;Syii
b_wirey;Wirey
ledey;Ledey
b_rohipp;Rohipp
b_rilada;Rilada
b_avadwig;Avadwig
b_qyevodar;Qyevodar
b_eriwipp;Eriwipp
b_nilacob;Nilacob
b_saterd;Saterd
b_kediby;Kediby
b_senivi;Senivi
b_erusodar;Erusodar
b_wolada;Wolada
b_teliby;Teliby
b_tilada;Tilada
b_qelishan;Qelishan
b_tovishan;Tovishan
b_kusivi;Kusivi
diwiby;Diwiby
b_eqyaa;Eqyaa
b_tenery;Tenery
b_atiwipp;Atiwipp
b_daudery;Daudery
b_kiwihal;Kiwihal
b_nedipp;Nedipp
b_tiwer;Tiwer
b_reuser;Reuser
rilacob;Rilacob
b_leusidia;Leusidia
b_ebilacob;Ebilacob
b_qeleyee;Qeley'ee
b_rederd;Rederd
b_deusada;Deusada
b_tiwows;Tiwows
ryevacob;Ryevacob
b_ekenodar;Ekenodar
b_tyoa;Tyoa
b_kiwivi;Kiwivi
b_kedows;Kedows
b_weusada;Weusada
b_qavey;Qavey
b_satodar;Satodar
b_dilidia;Dilidia
saleyee;Saley'ee
b_epaviby;Epaviby
b_wavery;Wavery
b_kusihal;Kusihal
b_atatey;Atatey
b_sohows;Sohows
b_sauder;Sauder
b_serid;Serid
b_lolidei;Lolid'ei
b_navery;Navery
b_eqenipp;Eqenipp
b_tyos;Tyos
b_rusey;Rusey
b_lohacob;Lohacob
b_esyeviby;Esyeviby
b_wolacob;Wolacob
b_wusodar;Wusodar
teripp;Teripp
b_diwery;Diwery
b_naudada;Naudada
b_wiwodar;Wiwodar
b_relery;Relery
b_elauder;Elauder
b_bovows;Bovows
b_apavipp;Apavipp
b_koveyee;Kovey'ee
nedodar;Nedodar
b_qiwacob;Qiwacob
b_luserd;Luserd
b_lerows;Lerows
b_belery;Belery
b_averd;Averd
b_lolihal;Lolihal
b_sovows;Sovows
b_dusodar;Dusodar
b_latohcobob;La'tohcob'ob
b_toveroe;Tover'oe
b_qilivi;Qilivi
b_qohodar;Qohodar
b_lenows;Lenows
b_rovidee;Rovid'ee
b_qeliby;Qeliby
taterd;Taterd
b_ewelerd;Ewelerd
b_bohery;Bohery
b_amauder;Amauder
b_tilows;Tilows
b_rolacob;Rolacob
b_kyevows;Kyevows
b_nolada;Nolada
b_rohiby;Rohiby
b_qyed;Qyed
b_aberacob;Aberacob
b_byevacob;Byevacob
b_qeleyaver;Qeley'aver
b_nohada;Nohada
b_lusivi;Lusivi
b_nirows;Nirows
b_rilipp;Rilipp
b_nyevey;Nyevey
b_rilery;Rilery
b_ravery;Ravery
b_lohodar;Lohodar
b_reusodar;Reusodar
b_kolelder;Kolelder
b_neridia;Neridia
b_relidia;Relidia
lenipp;Lenipp
b_natacob;Natacob
b_qavada;Qavada
b_toherd;Toherd
b_efedihal;Efedihal
b_bavows;Bavows
b_niwacob;Niwacob
b_seusows;Seusows
navows;Navows
b_lyevodar;Lyevodar
b_lyos;Lyos
b_selichin;Selichin
b_eriwivi;Eriwivi
b_benada;Benada
b_tavcikauryqelr;Tavci'kauryqelr
b_tyeviby;Tyeviby
b_tiwery;Tiwery
seusipp;Seusipp
b_ariwacob;Ariwacob
b_wedyia;Wedyia
b_kaudid;Kaudid
b_ryevivi;Ryevivi
b_lovery;Lovery
b_qatid;Qatid
b_davidoe;David'oe
b_ratatodar;Ratatodar
reusid;Reusid
b_tovery;Tovery
b_tohiby;Tohiby
b_watidia;Watidia
b_kaudey;Kaudey
b_qusivi;Qusivi
b_qilada;Qilada
b_teuserd;Teuserd
emaudey;Emaudey
b_redacob;Redacob
b_qyeviby;Qyeviby
b_kusacob;Kusacob
b_aladwig;Aladwig
b_epavada;Epavada
b_telidia;Telidia
b_alaspar;Alaspar
tohodar;Tohodar
b_qoleyoi;Qoley'oi
b_loleroe;Loler'oe
b_teridia;Teridia
b_kelacob;Kelacob
b_adyevacob;Adyevacob
b_efedipp;Efedipp
b_kiwey;Kiwey
b_lilipp;Lilipp
raver;Raver
b_wirerd;Wirerd
b_ekoleree;Ekoler'ee
b_telacob;Telacob
b_wedidia;Wedidia
b_keusada;Keusada
b_wiridia;Wiridia
b_kater;Kater
b_relerecob;Reler'ecob
b_qolodar;Qolodar
b_toladwig;Toladwig
b_novivi;Novivi
b_levey;Levey
b_kenows;Kenows
b_agilada;Agilada
b_teusihal;Teusihal
karisaqvi;Kar'isa'qvi
b_nerid;Nerid
b_nyeviby;Nyeviby
b_tedipp;Tedipp
b_kilows;Kilows
b_tusipp;Tusipp
b_loher;Loher
b_nyevihal;Nyevihal
b_watey;Watey
erusid;Erusid
b_davodar;Davodar
b_kenihal;Kenihal
b_qusery;Qusery
b_syevidia;Syevidia
b_tatada;Tatada
b_beladwig;Beladwig
b_reusey;Reusey
b_qedipp;Qedipp
neusiby;Neusiby
b_kiaqover;Kia'qover
b_belelder;Belelder
b_bohid;Bohid
b_kusey;Kusey
b_aleusid;Aleusid
b_relidehal;Relid'ehal
b_rener;Rener
b_alidoe;Alid'oe
riwerd;Riwerd
davacob;Davacob
rutd;Rutd
taul;Taul
dyoll;Dyoll
sigd;Sigd
rivi;Rivi
eberl;Eberl
qoel;Qoel
qodl;Qodl
qy;Qy
karl;Karl
d;Enae
seol;Seol
reol;Reol
neol;Neol
werl;Werl
dal;Dal
raul;Raul
rudda;Rudda
sy;Sy
nudvi;Nudvi
kanl;Kanl
kotl;Kotl
emaheis;Emaheis
asopemor;Asopemor
asopemor_DESC;All praise the almighty Da!
da;Da
kakius;Kakius
tidia;Tidia
edusania;Edusania
lyros;Lyros
seones;Seones
athe;Athe
qotoedl;Qotoedl
b_qinidia;Qinidia
b_wunivi;Wunivi
b_kolinus;Kolinus
b_bidey;Bidey
b_dotemor;Dotemor
b_kotey;Kotey
b_botemor;Botemor
b_tudinus;Tudinus
didal;Didal
b_kopiel;Kopiel
b_rohoedl;Rohoedl
b_kunius;Kunius
b_seopey;Seopey
b_bopada;Bopada
b_narivi;Narivi
b_lohius;Lohius
b_tudhius;Tudhius
rotada;Rotada
b_arididia;Arididia
b_rarius;Rarius
b_qeodl;Qeodl
b_tudada;Tudada
b_qanacob;Qanacob
b_rolinus;Rolinus
b_sahenal;Sahenal
b_suninus;Suninus
tohipp;Tohipp
b_apritey;Apritey
b_winoedl;Winoedl
b_qotl;Qotl
b_bihemor;Bihemor
b_sotada;Sotada
b_reodl;Reodl
b_retheonus;Retheonus
b_rephen;Rephen
kinipp;Kinipp
b_kedinus;Kedinus
b_ludlasoplul;Ludl-Asopl Ul
b_qacotidia;Qacotidia
b_notiel;Notiel
b_livi;Livi
b_qolinus;Qolinus
b_rolal;Rolal
b_kahenal;Kahenal
t;Pirtdonuon
c_t;Posla
PROV636;Cersron
b_bahenus;Bahenus
b_kidey;Kidey
b_bolius;Bolius
b_rotinus;Rotinus
b_noliel;Noliel
b_seoldopl;Seol-Dopl
b_rudada;Rudada
b_reopery;Reopery
qahedia;Qahedia
b_rolli;Roll-I
b_saspar;Saspar
b_ludayaey;Ludayaey
b_nidivi;Nidivi
b_bopey;Bopey
b_ledivi;Ledivi
b_tininus;Tininus
b_wudery;Wudery
qemor;Qemor
b_wunoedl;Wunoedl
b_soley;Soley
b_raral;Raral
b_qotius;Qotius
b_wengel;Wengel
b_aneopiel;Aneopiel
b_bacotluda;Bacotl-Uda
b_wihey;Wihey
afoliel;Afoliel
b_kihoedl;Kihoedl
b_sunacob;Sunacob
b_esunoedl;Esunoedl
b_dotius;Dotius
b_danoedl;Danoedl
b_wahedia;Wahedia
b_tarada;Tarada
b_nunivi;Nunivi
tudacob;Tudacob
b_tudoedl;Tudoedl
